Day,Week,Focus,Codecademy Lesson,Apply to Repo Task,Done
1,1,"Web Foundations","HTML structure","Edit homepage heading text in a new branch.",[ ]
2,1,"Web Foundations","CSS basics","Adjust spacing or colors on one section.",[ ]
3,1,"Web Foundations","Command line basics","Navigate project folders in terminal and run one basic command.",[ ]
4,1,"Web Foundations","Git/GitHub basics","Commit and push one tiny change using GitHub Desktop.",[ ]
5,1,"Web Foundations","Reflection + mini review","Write 3 bullets in LEARNING_LOG.md: what I learned, what was hard, what I did next.",[ ]
6,1,"Web Foundations","Review/Practice","Small polish fix + rest-friendly pace",[ ]
7,1,"Web Foundations","Review/Practice","Small polish fix + rest-friendly pace",[ ]
8,2,"JavaScript Fundamentals I","Variables + data types","Change text using a variable in one component/file.",[ ]
9,2,"JavaScript Fundamentals I","Functions","Create one small helper function and call it.",[ ]
10,2,"JavaScript Fundamentals I","Conditionals","Add one if/else-based UI message.",[ ]
11,2,"JavaScript Fundamentals I","Arrays","Loop through an array to render or process data.",[ ]
12,2,"JavaScript Fundamentals I","Objects","Store related values in an object and use them in output.",[ ]
13,2,"JavaScript Fundamentals I","Review/Practice","Small polish fix + rest-friendly pace",[ ]
14,2,"JavaScript Fundamentals I","Review/Practice","Small polish fix + rest-friendly pace",[ ]
15,3,"JavaScript Fundamentals II","Loops + iteration","Use for/of or map once in your code.",[ ]
16,3,"JavaScript Fundamentals II","ES6 syntax","Refactor one function to arrow syntax.",[ ]
17,3,"JavaScript Fundamentals II","Modules/imports","Move one helper into its own file and import it.",[ ]
18,3,"JavaScript Fundamentals II","Async basics","Use async/await or read async code and explain it in your log.",[ ]
19,3,"JavaScript Fundamentals II","Debugging basics","Use browser dev tools console/network once and note one finding.",[ ]
20,3,"JavaScript Fundamentals II","Review/Practice","Small polish fix + rest-friendly pace",[ ]
21,3,"JavaScript Fundamentals II","Review/Practice","Small polish fix + rest-friendly pace",[ ]
22,4,"TypeScript Core I","Basic types","Add explicit type annotations to 3 variables.",[ ]
23,4,"TypeScript Core I","Interfaces","Create an interface for one object shape.",[ ]
24,4,"TypeScript Core I","Type aliases","Create one type alias and use it.",[ ]
25,4,"TypeScript Core I","Function typing","Type one function parameters and return value.",[ ]
26,4,"TypeScript Core I","Common TS errors","Fix one TypeScript warning and log the fix.",[ ]
27,4,"TypeScript Core I","Review/Practice","Small polish fix + rest-friendly pace",[ ]
28,4,"TypeScript Core I","Review/Practice","Small polish fix + rest-friendly pace",[ ]
29,5,"TypeScript Core II","Optional vs required props","Mark one prop optional and handle missing value safely.",[ ]
30,5,"TypeScript Core II","Union types","Use a union type in one variable/prop.",[ ]
31,5,"TypeScript Core II","Narrowing","Add a typeof/in check to narrow a type.",[ ]
32,5,"TypeScript Core II","Typing arrays/records","Use typed array or Record type once.",[ ]
33,5,"TypeScript Core II","Refactor day","Clean up names and comments in one file.",[ ]
34,5,"TypeScript Core II","Review/Practice","Small polish fix + rest-friendly pace",[ ]
35,5,"TypeScript Core II","Review/Practice","Small polish fix + rest-friendly pace",[ ]
36,6,"React Core I","Components + props","Split one UI block into a reusable component.",[ ]
37,6,"React Core I","State","Add local state for a simple toggle.",[ ]
38,6,"React Core I","Events","Add one button click handler.",[ ]
39,6,"React Core I","Conditional render","Show/hide one section with a condition.",[ ]
40,6,"React Core I","Component reuse","Reuse one component in two places.",[ ]
41,6,"React Core I","Review/Practice","Small polish fix + rest-friendly pace",[ ]
42,6,"React Core I","Review/Practice","Small polish fix + rest-friendly pace",[ ]
43,7,"React Core II","useEffect basics","Add a basic useEffect with a clear dependency array.",[ ]
44,7,"React Core II","Forms","Add one form field to a page.",[ ]
45,7,"React Core II","Controlled inputs","Convert an input to controlled state.",[ ]
46,7,"React Core II","Lists + keys","Render list items with stable keys.",[ ]
47,7,"React Core II","Accessibility basics","Add one aria-label or semantic element improvement.",[ ]
48,7,"React Core II","Review/Practice","Small polish fix + rest-friendly pace",[ ]
49,7,"React Core II","Review/Practice","Small polish fix + rest-friendly pace",[ ]
50,8,"Next.js Essentials I","Routing","Create or edit one route/page.",[ ]
51,8,"Next.js Essentials I","Layouts","Adjust one shared layout area.",[ ]
52,8,"Next.js Essentials I","Client vs server concept","Identify one client component and explain why.",[ ]
53,8,"Next.js Essentials I","Navigation","Add/update one nav link.",[ ]
54,8,"Next.js Essentials I","Error/loading states","Add a simple loading or fallback message.",[ ]
55,8,"Next.js Essentials I","Review/Practice","Small polish fix + rest-friendly pace",[ ]
56,8,"Next.js Essentials I","Review/Practice","Small polish fix + rest-friendly pace",[ ]
57,9,"Next.js Essentials II","Data fetching patterns","Read one data-fetching file and explain flow in your log.",[ ]
58,9,"Next.js Essentials II","Environment variables","Create a local .env example entry (no secrets committed).",[ ]
59,9,"Next.js Essentials II","Build basics","Run/build project locally once if possible.",[ ]
60,9,"Next.js Essentials II","Deploy concepts","Write deployment checklist draft (5 bullets).",[ ]
61,9,"Next.js Essentials II","Week review","Merge one clean PR and celebrate progress.",[ ]
62,9,"Next.js Essentials II","Review/Practice","Small polish fix + rest-friendly pace",[ ]
63,9,"Next.js Essentials II","Review/Practice","Small polish fix + rest-friendly pace",[ ]
64,10,"Styling + UI Systems","Responsive layout","Fix one mobile layout issue.",[ ]
65,10,"Styling + UI Systems","Spacing system","Standardize margins/padding on one section.",[ ]
66,10,"Styling + UI Systems","Reusable UI patterns","Create one reusable button/card style.",[ ]
67,10,"Styling + UI Systems","Dark/light checks","Check contrast/readability for one section.",[ ]
68,10,"Styling + UI Systems","Visual polish","Do one visual cleanup PR with before/after notes.",[ ]
69,10,"Styling + UI Systems","Review/Practice","Small polish fix + rest-friendly pace",[ ]
70,10,"Styling + UI Systems","Review/Practice","Small polish fix + rest-friendly pace",[ ]
71,11,"APIs + Backend Basics","REST concepts","Document one endpoint your app uses.",[ ]
72,11,"APIs + Backend Basics","Fetch + async/await","Add/fix one fetch call.",[ ]
73,11,"APIs + Backend Basics","Error handling","Handle loading/error state for one request.",[ ]
74,11,"APIs + Backend Basics","Auth concepts","Write simple notes on token/session differences.",[ ]
75,11,"APIs + Backend Basics","Data mapping","Map API response to UI fields in one component.",[ ]
76,11,"APIs + Backend Basics","Review/Practice","Small polish fix + rest-friendly pace",[ ]
77,11,"APIs + Backend Basics","Review/Practice","Small polish fix + rest-friendly pace",[ ]
78,12,"Databases + SQL Basics","Tables/rows/keys","Draw one tiny schema for your app data.",[ ]
79,12,"Databases + SQL Basics","SELECT","Write one sample SELECT query in notes.",[ ]
80,12,"Databases + SQL Basics","INSERT/UPDATE","Write one sample INSERT/UPDATE query in notes.",[ ]
81,12,"Databases + SQL Basics","Joins concept","Explain one join in plain English in log.",[ ]
82,12,"Databases + SQL Basics","Indexing concept","Note when indexing helps and one tradeoff.",[ ]
83,12,"Databases + SQL Basics","Review/Practice","Small polish fix + rest-friendly pace",[ ]
84,12,"Databases + SQL Basics","Review/Practice","Small polish fix + rest-friendly pace",[ ]
85,13,"Testing + Capstone","Debugging workflow","Use a bug checklist to fix one issue.",[ ]
86,13,"Testing + Capstone","Testing basics","Add or read one unit/integration test and explain it.",[ ]
87,13,"Testing + Capstone","Refactor for clarity","Refactor one file for readability.",[ ]
88,13,"Testing + Capstone","Capstone build","Build your capstone feature in a branch.",[ ]
89,13,"Testing + Capstone","Capstone ship","Open PR, review checklist, merge to main.",[ ]
90,13,"Testing + Capstone","Review/Practice","Small polish fix + rest-friendly pace",[ ]
